# x_m,y_m,w_tr_right_m,w_tr_left_m
0.6400,0.2000,0.7211,0.7211
0.5400,0.1000,0.7071,0.7071
0.5400,0.0000,0.7071,0.7071
0.4400,-0.1000,0.7211,0.7211
0.3400,-0.2000,0.7211,0.7211
0.2400,-0.3000,0.7071,0.7071
0.2400,-0.4000,0.7071,0.7071
0.1400,-0.5000,0.7071,0.7071
0.0400,-0.6000,0.7071,0.7071
-0.0600,-0.7000,0.7071,0.7071
-0.1600,-0.8000,0.6708,0.6708
-0.1600,-0.9000,0.6403,0.6403
-0.2600,-1.0000,0.6708,0.6708
-0.3600,-1.1000,0.6325,0.6325
-0.3600,-1.2000,0.6708,0.6708
-0.4600,-1.3000,0.6325,0.6325
-0.4600,-1.4000,0.6708,0.6708
-0.4600,-1.5000,0.6325,0.6325
-0.5600,-1.6000,0.6325,0.6325
-0.5600,-1.7000,0.6708,0.6708
-0.5600,-1.8000,0.7000,0.7000
-0.5600,-1.9000,0.7000,0.7000
-0.5600,-2.0000,0.7000,0.7000
-0.5600,-2.1000,0.7000,0.7000
-0.5600,-2.2000,0.7071,0.7071
-0.5600,-2.3000,0.7280,0.7280
-0.5600,-2.4000,0.7071,0.7071
-0.5600,-2.5000,0.6708,0.6708
-0.4600,-2.6000,0.7071,0.7071
-0.3600,-2.7000,0.7211,0.7211
-0.3600,-2.8000,0.6708,0.6708
-0.2600,-2.9000,0.7071,0.7071
-0.1600,-3.0000,0.6708,0.6708
-0.1600,-3.1000,0.6403,0.6403
-0.0600,-3.2000,0.6403,0.6403
0.0400,-3.3000,0.6403,0.6403
0.1400,-3.4000,0.6403,0.6403
0.2400,-3.5000,0.6403,0.6403
0.3400,-3.6000,0.6403,0.6403
0.4400,-3.7000,0.6403,0.6403
0.5400,-3.8000,0.6403,0.6403
0.6400,-3.9000,0.6403,0.6403
0.7400,-4.0000,0.6403,0.6403
0.8400,-4.1000,0.6403,0.6403
0.9400,-4.2000,0.6403,0.6403
1.0400,-4.3000,0.6403,0.6403
1.1400,-4.4000,0.6325,0.6325
1.2400,-4.4000,0.6325,0.6325
1.3400,-4.5000,0.6403,0.6403
1.4400,-4.6000,0.6403,0.6403
1.5400,-4.7000,0.6403,0.6403
1.6400,-4.8000,0.6325,0.6325
1.7400,-4.9000,0.5831,0.5831
1.8400,-5.0000,0.5657,0.5657
1.9400,-5.1000,0.5657,0.5657
2.0400,-5.2000,0.5831,0.5831
2.1400,-5.3000,0.5831,0.5831
2.2400,-5.3000,0.5831,0.5831
2.3400,-5.4000,0.6325,0.6325
2.4400,-5.4000,0.6083,0.6083
2.5400,-5.5000,0.6708,0.6708
2.6400,-5.5000,0.7000,0.7000
2.7400,-5.5000,0.7000,0.7000
2.8400,-5.5000,0.7000,0.7000
2.9400,-5.5000,0.7000,0.7000
3.0400,-5.5000,0.7000,0.7000
3.1400,-5.5000,0.7071,0.7071
3.2400,-5.5000,0.6708,0.6708
3.3400,-5.4000,0.6708,0.6708
3.4400,-5.3000,0.6403,0.6403
3.5400,-5.3000,0.6708,0.6708
3.6400,-5.2000,0.7071,0.7071
3.7400,-5.1000,0.7071,0.7071
3.8400,-5.0000,0.7071,0.7071
3.8400,-4.9000,0.7211,0.7211
3.9400,-4.8000,0.7280,0.7280
3.9400,-4.7000,0.7280,0.7280
3.9400,-4.6000,0.7071,0.7071
3.9400,-4.5000,0.7000,0.7000
3.9400,-4.4000,0.7000,0.7000
3.9400,-4.3000,0.7000,0.7000
3.9400,-4.2000,0.7000,0.7000
3.9400,-4.1000,0.7000,0.7000
3.9400,-4.0000,0.7000,0.7000
3.9400,-3.9000,0.7000,0.7000
3.9400,-3.8000,0.7000,0.7000
4.0400,-3.7000,0.8000,0.8000
4.0400,-3.6000,0.8000,0.8000
4.0400,-3.5000,0.8000,0.8000
4.0400,-3.4000,0.8000,0.8000
4.0400,-3.3000,0.8000,0.8000
4.0400,-3.2000,0.8000,0.8000
4.0400,-3.1000,0.8000,0.8000
4.0400,-3.0000,0.8000,0.8000
4.1400,-2.9000,0.8000,0.8000
4.1400,-2.8000,0.8062,0.8062
4.1400,-2.7000,0.8246,0.8246
4.1400,-2.6000,0.8062,0.8062
4.1400,-2.5000,0.8000,0.8000
4.1400,-2.4000,0.8000,0.8000
4.1400,-2.3000,0.8000,0.8000
4.2400,-2.2000,0.8062,0.8062
4.2400,-2.1000,0.8246,0.8246
4.2400,-2.0000,0.8544,0.8544
4.2400,-1.9000,0.8544,0.8544
4.3400,-1.8000,0.8246,0.8246
4.4400,-1.7000,0.7616,0.7616
4.5400,-1.7000,0.7810,0.7810
4.6400,-1.6000,0.7000,0.7000
4.7400,-1.6000,0.7071,0.7071
4.8400,-1.6000,0.7280,0.7280
4.9400,-1.6000,0.7071,0.7071
5.0400,-1.6000,0.7000,0.7000
5.1400,-1.6000,0.7000,0.7000
5.2400,-1.6000,0.7000,0.7000
5.3400,-1.5000,0.7000,0.7000
5.4400,-1.5000,0.7000,0.7000
5.5400,-1.5000,0.7000,0.7000
5.6400,-1.5000,0.7000,0.7000
5.7400,-1.5000,0.7000,0.7000
5.8400,-1.6000,0.6000,0.6000
5.9400,-1.6000,0.6000,0.6000
6.0400,-1.6000,0.6000,0.6000
6.1400,-1.5000,0.6083,0.6083
6.2400,-1.5000,0.6000,0.6000
6.3400,-1.5000,0.6000,0.6000
6.4400,-1.5000,0.6000,0.6000
6.5400,-1.5000,0.6000,0.6000
6.6400,-1.5000,0.6000,0.6000
6.7400,-1.5000,0.6000,0.6000
6.8400,-1.5000,0.5831,0.5831
6.9400,-1.5000,0.5385,0.5385
7.0400,-1.5000,0.5099,0.5099
7.1400,-1.5000,0.5000,0.5000
7.2400,-1.5000,0.5000,0.5000
7.3400,-1.4000,0.6000,0.6000
7.4400,-1.4000,0.5831,0.5831
7.5400,-1.4000,0.5385,0.5385
7.6400,-1.4000,0.5099,0.5099
7.7400,-1.3000,0.5831,0.5831
7.8400,-1.3000,0.5385,0.5385
7.9400,-1.2000,0.6083,0.6083
8.0400,-1.1000,0.6708,0.6708
8.1400,-1.0000,0.7071,0.7071
8.1400,-0.9000,0.6708,0.6708
8.2400,-0.8000,0.7280,0.7280
8.2400,-0.7000,0.7071,0.7071
8.2400,-0.6000,0.7000,0.7000
8.2400,-0.5000,0.7000,0.7000
8.3400,-0.4000,0.8000,0.8000
8.3400,-0.3000,0.8000,0.8000
8.3400,-0.2000,0.8062,0.8062
8.3400,-0.1000,0.8246,0.8246
8.3400,0.0000,0.8544,0.8544
8.4400,0.0000,0.9434,0.9434
8.5400,0.0000,0.8544,0.8544
8.6400,0.1000,0.7616,0.7616
8.7400,0.1000,0.7211,0.7211
8.8400,0.2000,0.6083,0.6083
8.9400,0.2000,0.5831,0.5831
9.0400,0.3000,0.5000,0.5000
9.1400,0.3000,0.4472,0.4472
8.2400,0.1000,0.8062,0.8062
8.2400,0.2000,0.8062,0.8062
8.1400,0.3000,0.7280,0.7280
8.0400,0.3000,0.7211,0.7211
7.9400,0.4000,0.6708,0.6708
7.8400,0.5000,0.6403,0.6403
7.7400,0.6000,0.6403,0.6403
7.6400,0.7000,0.6403,0.6403
7.5400,0.8000,0.6325,0.6325
7.4400,0.9000,0.5831,0.5831
7.3400,0.9000,0.5831,0.5831
7.2400,1.0000,0.6325,0.6325
7.1400,1.1000,0.5831,0.5831
7.0400,1.2000,0.5657,0.5657
6.9400,1.2000,0.5831,0.5831
6.8400,1.3000,0.6083,0.6083
6.7400,1.3000,0.5657,0.5657
6.6400,1.4000,0.5831,0.5831
6.5400,1.5000,0.5657,0.5657
6.4400,1.6000,0.5657,0.5657
6.3400,1.7000,0.5831,0.5831
6.3400,1.8000,0.5385,0.5385
6.2400,1.9000,0.6083,0.6083
6.2400,2.0000,0.6000,0.6000
6.1400,2.1000,0.7071,0.7071
6.1400,2.2000,0.7280,0.7280
6.1400,2.3000,0.7616,0.7616
6.0400,2.4000,0.8944,0.8944
6.0400,2.5000,0.9434,0.9434
5.9400,2.6000,1.0770,1.0770
5.8400,2.6000,1.0630,1.0630
5.7400,2.5000,0.9434,0.9434
5.9400,2.7000,1.0817,1.0817
6.0400,2.8000,1.0817,1.0817
6.0400,2.9000,1.0770,1.0770
6.1400,3.0000,1.1180,1.1180
6.2400,3.0000,1.0630,1.0630
6.3400,3.0000,1.0000,1.0000
6.4400,3.0000,0.9434,0.9434
6.5400,3.0000,0.8944,0.8944
6.6400,3.0000,0.8544,0.8544
6.7400,2.9000,0.7280,0.7280
6.8400,2.9000,0.7071,0.7071
6.9400,2.9000,0.7000,0.7000
7.0400,2.9000,0.7000,0.7000
7.1400,2.8000,0.6083,0.6083
7.2400,2.8000,0.6325,0.6325
7.3400,2.8000,0.6708,0.6708
7.4400,2.7000,0.6403,0.6403
7.5400,2.7000,0.6708,0.6708
7.6400,2.6000,0.6708,0.6708
7.7400,2.6000,0.6708,0.6708
7.8400,2.5000,0.6708,0.6708
7.9400,2.4000,0.6403,0.6403
8.0400,2.4000,0.6708,0.6708
8.1400,2.3000,0.6708,0.6708
8.2400,2.2000,0.6403,0.6403
8.3400,2.1000,0.6403,0.6403
8.4400,2.0000,0.6325,0.6325
8.5400,2.0000,0.6708,0.6708
8.6400,2.0000,0.6325,0.6325
8.7400,1.9000,0.7071,0.7071
8.8400,1.8000,0.6708,0.6708
8.9400,1.8000,0.7000,0.7000
9.0400,1.8000,0.7000,0.7000
9.1400,1.8000,0.7000,0.7000
9.2400,1.8000,0.7000,0.7000
9.3400,1.8000,0.7000,0.7000
9.4400,1.8000,0.7071,0.7071
9.5400,1.8000,0.7280,0.7280
9.6400,1.7000,0.8000,0.8000
9.7400,1.7000,0.8000,0.8000
9.8400,1.7000,0.8000,0.8000
9.9400,1.7000,0.8000,0.8000
10.0400,1.8000,0.9055,0.9055
10.1400,1.8000,0.9055,0.9055
10.2400,1.9000,0.9849,0.9849
10.3400,1.9000,0.9434,0.9434
10.4400,2.0000,0.9849,0.9849
10.5400,2.1000,1.0440,1.0440
10.5400,2.2000,1.0296,1.0296
10.4400,2.3000,0.8944,0.8944
10.4400,2.4000,0.8544,0.8544
10.4400,2.5000,0.8246,0.8246
10.4400,2.6000,0.8062,0.8062
10.4400,2.7000,0.8000,0.8000
10.4400,2.8000,0.8000,0.8000
10.4400,2.9000,0.8000,0.8000
10.4400,3.0000,0.8000,0.8000
10.4400,3.1000,0.8000,0.8000
10.4400,3.2000,0.8000,0.8000
10.3400,3.3000,0.7000,0.7000
10.3400,3.4000,0.7000,0.7000
10.3400,3.5000,0.7000,0.7000
10.3400,3.6000,0.7000,0.7000
10.3400,3.7000,0.7000,0.7000
10.3400,3.8000,0.7000,0.7000
10.3400,3.9000,0.7000,0.7000
10.3400,4.0000,0.7071,0.7071
10.3400,4.1000,0.7280,0.7280
10.3400,4.2000,0.7616,0.7616
10.3400,4.3000,0.8000,0.8000
10.3400,4.4000,0.8000,0.8000
10.3400,4.5000,0.8000,0.8000
10.2400,4.6000,0.7616,0.7616
10.2400,4.7000,0.8000,0.8000
10.2400,4.8000,0.8000,0.8000
10.2400,4.9000,0.8062,0.8062
10.1400,5.0000,0.7280,0.7280
10.1400,5.1000,0.7616,0.7616
10.1400,5.2000,0.8000,0.8000
10.1400,5.3000,0.8000,0.8000
10.0400,5.4000,0.7071,0.7071
10.0400,5.5000,0.7280,0.7280
10.0400,5.6000,0.7616,0.7616
10.0400,5.7000,0.8062,0.8062
10.0400,5.8000,0.7616,0.7616
9.9400,5.9000,0.8062,0.8062
9.9400,6.0000,0.8062,0.8062
9.8400,6.1000,0.8062,0.8062
9.8400,6.2000,0.8544,0.8544
9.8400,6.3000,0.8246,0.8246
9.8400,6.4000,0.8062,0.8062
9.7400,6.5000,0.9000,0.9000
9.7400,6.6000,0.9000,0.9000
9.6400,6.7000,1.0000,1.0000
9.6400,6.8000,0.9849,0.9849
9.5400,6.8000,1.0630,1.0630
9.4400,6.8000,1.0000,1.0000
9.3400,6.8000,0.9434,0.9434
9.2400,6.8000,0.8944,0.8944
9.1400,6.9000,0.8544,0.8544
9.0400,6.9000,0.8246,0.8246
8.9400,6.8000,0.8062,0.8062
8.8400,6.8000,0.7616,0.7616
8.7400,6.8000,0.7280,0.7280
8.6400,6.8000,0.7071,0.7071
8.5400,6.8000,0.7000,0.7000
8.4400,6.8000,0.7000,0.7000
8.3400,6.8000,0.7000,0.7000
8.2400,6.8000,0.7000,0.7000
8.1400,6.7000,0.6000,0.6000
8.0400,6.7000,0.6000,0.6000
7.9400,6.7000,0.6000,0.6000
7.8400,6.7000,0.6000,0.6000
7.7400,6.7000,0.6000,0.6000
7.6400,6.7000,0.6000,0.6000
7.5400,6.7000,0.6000,0.6000
7.4400,6.7000,0.6000,0.6000
7.3400,6.7000,0.6000,0.6000
7.2400,6.7000,0.6083,0.6083
7.1400,6.6000,0.6083,0.6083
7.0400,6.6000,0.6325,0.6325
6.9400,6.6000,0.6708,0.6708
6.8400,6.7000,0.7810,0.7810
6.7400,6.7000,0.8246,0.8246
6.6400,6.7000,0.8544,0.8544
6.5400,6.7000,0.8944,0.8944
6.4400,6.8000,1.0296,1.0296
6.3400,6.8000,1.0630,1.0630
6.2400,6.7000,1.0296,1.0296
6.1400,6.6000,0.9849,0.9849
6.0400,6.6000,0.9899,0.9899
5.9400,6.5000,0.9849,0.9849
5.8400,6.4000,0.9434,0.9434
5.7400,6.3000,0.9220,0.9220
5.6400,6.2000,0.8944,0.8944
5.5400,6.1000,0.8602,0.8602
5.4400,6.0000,0.8485,0.8485
5.3400,5.9000,0.8485,0.8485
5.2400,5.8000,0.8485,0.8485
5.1400,5.7000,0.8485,0.8485
5.0400,5.6000,0.8485,0.8485
4.9400,5.5000,0.8485,0.8485
4.8400,5.4000,0.8485,0.8485
4.7400,5.3000,0.8485,0.8485
4.6400,5.2000,0.8062,0.8062
4.5400,5.1000,0.7810,0.7810
4.4400,5.0000,0.7810,0.7810
4.4400,4.9000,0.7810,0.7810
4.3400,4.8000,0.7810,0.7810
4.2400,4.7000,0.7810,0.7810
4.1400,4.6000,0.7810,0.7810
4.0400,4.5000,0.7810,0.7810
3.9400,4.4000,0.7616,0.7616
3.8400,4.3000,0.7211,0.7211
3.7400,4.2000,0.7071,0.7071
3.7400,4.1000,0.7211,0.7211
3.6400,4.0000,0.7616,0.7616
3.5400,3.9000,0.7810,0.7810
3.4400,3.8000,0.7810,0.7810
3.3400,3.7000,0.7810,0.7810
3.3400,3.6000,0.7810,0.7810
3.2400,3.5000,0.8062,0.8062
3.1400,3.4000,0.7810,0.7810
3.0400,3.3000,0.7810,0.7810
3.0400,3.2000,0.7810,0.7810
2.9400,3.1000,0.7810,0.7810
2.8400,3.0000,0.7810,0.7810
2.7400,2.9000,0.7810,0.7810
2.6400,2.8000,0.7616,0.7616
2.6400,2.7000,0.7616,0.7616
2.5400,2.6000,0.7810,0.7810
2.4400,2.5000,0.7810,0.7810
2.3400,2.4000,0.7616,0.7616
2.2400,2.3000,0.7211,0.7211
2.1400,2.2000,0.7071,0.7071
2.1400,2.1000,0.7211,0.7211
2.0400,2.0000,0.7616,0.7616
1.9400,1.9000,0.7211,0.7211
1.8400,1.8000,0.7071,0.7071
1.8400,1.7000,0.7211,0.7211
1.7400,1.6000,0.7616,0.7616
1.6400,1.5000,0.7616,0.7616
1.5400,1.4000,0.7211,0.7211
1.5400,1.3000,0.7616,0.7616
1.4400,1.2000,0.7810,0.7810
1.3400,1.1000,0.7810,0.7810
1.2400,1.0000,0.7616,0.7616
1.1400,0.9000,0.7211,0.7211
1.1400,0.8000,0.7616,0.7616
1.0400,0.7000,0.7810,0.7810
0.9400,0.6000,0.7616,0.7616
0.8400,0.5000,0.7211,0.7211
0.7400,0.4000,0.7071,0.7071
0.7400,0.3000,0.7616,0.7616
